source_league_id,dest_league_id,source_league,dest_league,source_country_id,dest_country_id,source_tier,dest_tier,n_transfers,n_loans,fee_sum,fee_median,domestic_share
211F,PO1,U21 Divisie 1 Herbst,Liga Portugal,122.0,136.0,Youth,1,3,1,280000.0,140000.0,0.0
211F,PT23,U21 Divisie 1 Herbst,Liga Revelação U23,122.0,136.0,Youth,Youth,1,0,0.0,,0.0
211F,RETIREMENT,U21 Divisie 1 Herbst,RETIREMENT,122.0,,Youth,,1,0,0.0,,0.0
211F,SE1,U21 Divisie 1 Herbst,Allsvenskan,122.0,147.0,Youth,1,2,2,0.0,,0.0
211F,SE3S,U21 Divisie 1 Herbst,Ettan Södra,122.0,147.0,Youth,3,1,0,0.0,,0.0
211F,SK19,U21 Divisie 1 Herbst,I. Liga starsieho dorastu,122.0,154.0,Youth,Youth,1,1,0.0,,0.0
211F,TR1,U21 Divisie 1 Herbst,Süper Lig,122.0,174.0,Youth,1,1,0,0.0,,0.0
211F,TR2,U21 Divisie 1 Herbst,1.Lig,122.0,174.0,Youth,2,1,0,0.0,,0.0
211F,TR3B,U21 Divisie 1 Herbst,2.Lig Kirmizi,122.0,174.0,Youth,3,1,0,0.0,,0.0
211F,USC3,U21 Divisie 1 Herbst,USL League One,122.0,184.0,Youth,3,1,0,0.0,,0.0
211F,WITHOUT_CLUB,U21 Divisie 1 Herbst,WITHOUT_CLUB,122.0,,Youth,,23,0,0.0,,0.0
212F,211F,U21 Divisie 2 Herbst,U21 Divisie 1 Herbst,122.0,122.0,Youth,Youth,5,0,0.0,,1.0
212F,212F,U21 Divisie 2 Herbst,U21 Divisie 2 Herbst,122.0,122.0,Youth,Youth,6,0,0.0,,1.0
212F,212S,U21 Divisie 2 Herbst,U21 Divisie 2 Frühling,122.0,122.0,Youth,Youth,3,0,0.0,,1.0
212F,510,U21 Divisie 2 Herbst,Derde Divisie A,122.0,122.0,Youth,4,4,0,0.0,,1.0
212F,511,U21 Divisie 2 Herbst,Derde Divisie B,122.0,122.0,Youth,4,4,0,0.0,,1.0
212F,BE2,U21 Divisie 2 Herbst,Challenger Pro League,122.0,19.0,Youth,2,1,0,0.0,,0.0
212F,BE5A,U21 Divisie 2 Herbst,3de Nationale VV A,122.0,19.0,Youth,5,1,0,0.0,,0.0
212F,BEL3,U21 Divisie 2 Herbst,1ste Nationale,122.0,19.0,Youth,3,2,0,0.0,,0.0
212F,CHPR,U21 Divisie 2 Herbst,Promotion League,122.0,148.0,Youth,3,1,0,0.0,,0.0
212F,GI1,U21 Divisie 2 Herbst,Gibraltar Football League,122.0,266.0,Youth,1,1,0,0.0,,0.0
212F,GRS2,U21 Divisie 2 Herbst,Super League 2,122.0,56.0,Youth,2,2,0,0.0,,0.0
212F,HBZO,U21 Divisie 2 Herbst,Vierde Divisie B Sonntag,122.0,122.0,Youth,5,1,0,0.0,,1.0
212F,LNR1,U21 Divisie 2 Herbst,Landesliga Niederrhein - Gruppe 1,122.0,40.0,Youth,6,1,0,0.0,,0.0
212F,LUX1,U21 Divisie 2 Herbst,BGL Ligue,122.0,99.0,Youth,1,1,0,0.0,,0.0
212F,NCL1,U21 Divisie 2 Herbst,National League - Central,122.0,120.0,Youth,1,1,0,0.0,,0.0
212F,NL1,U21 Divisie 2 Herbst,Eredivisie,122.0,122.0,Youth,1,4,0,0.0,,1.0
212F,NL2,U21 Divisie 2 Herbst,Keuken Kampioen Divisie,122.0,122.0,Youth,2,19,4,0.0,,1.0
212F,NTD,U21 Divisie 2 Herbst,Tweede Divisie,122.0,122.0,Youth,3,12,1,0.0,,1.0
212F,OBLC,U21 Divisie 2 Herbst,Hessenliga,122.0,40.0,Youth,5,1,0,0.0,,0.0
212F,OLNI,U21 Divisie 2 Herbst,Oberliga Niederrhein,122.0,40.0,Youth,5,1,0,0.0,,0.0
212F,SFA1,U21 Divisie 2 Herbst,Betway Premiership,122.0,159.0,Youth,1,1,0,0.0,,0.0
212F,TR2,U21 Divisie 2 Herbst,1.Lig,122.0,174.0,Youth,2,1,0,0.0,,0.0
212F,UNKNOWN_CLUB,U21 Divisie 2 Herbst,UNKNOWN_CLUB,122.0,,Youth,,1,0,0.0,,0.0
212F,VFVB,U21 Divisie 2 Herbst,2de Nationale VV B,122.0,19.0,Youth,4,1,0,0.0,,0.0
212F,WITHOUT_CLUB,U21 Divisie 2 Herbst,WITHOUT_CLUB,122.0,,Youth,,27,0,0.0,,0.0
212S,211F,U21 Divisie 2 Frühling,U21 Divisie 1 Herbst,122.0,122.0,Youth,Youth,3,0,0.0,,1.0
212S,212F,U21 Divisie 2 Frühling,U21 Divisie 2 Herbst,122.0,122.0,Youth,Youth,2,1,0.0,,1.0
212S,510,U21 Divisie 2 Frühling,Derde Divisie A,122.0,122.0,Youth,4,3,0,0.0,,1.0
212S,BE5B,U21 Divisie 2 Frühling,3de Nationale VV B,122.0,19.0,Youth,5,1,0,0.0,,0.0
212S,MAL1,U21 Divisie 2 Frühling,Premier League (-2024),122.0,106.0,Youth,1,1,0,0.0,,0.0
212S,NL1,U21 Divisie 2 Frühling,Eredivisie,122.0,122.0,Youth,1,3,0,0.0,,1.0
212S,NL2,U21 Divisie 2 Frühling,Keuken Kampioen Divisie,122.0,122.0,Youth,2,1,0,0.0,,1.0
212S,RETIREMENT,U21 Divisie 2 Frühling,RETIREMENT,122.0,,Youth,,1,0,0.0,,0.0
212S,UNKNOWN_CLUB,U21 Divisie 2 Frühling,UNKNOWN_CLUB,122.0,,Youth,,1,0,0.0,,0.0
212S,WITHOUT_CLUB,U21 Divisie 2 Frühling,WITHOUT_CLUB,122.0,,Youth,,4,0,0.0,,0.0
2DVB,2DVB,2. Division B,2. Division B,141.0,141.0,4,4,195,28,97000.0,15000.0,1.0
2DVB,ARM1,2. Division B,Premier League,141.0,10.0,4,1,2,1,0.0,,0.0
2DVB,CAREER_BREAK,2. Division B,CAREER_BREAK,141.0,,4,,3,0,0.0,,0.0
