competition_id,league_name,country_id,tier,source_url,canonical_competition_id,prior_league_names
COLP,Liga DIMAYOR Apertura,83.0,1,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/COLP,,

CPSA,Campeonato de Portugal - Série A,136.0,4,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CPSA,,

CPSB,Campeonato de Portugal - Série B,136.0,4,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CPSB,,

CPSC,Campeonato de Portugal - Série C,136.0,4,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CPSC,,

CPSD,Campeonato de Portugal - Série D,136.0,4,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CPSD,,

CR1,1. Liga Gruppe 1 (bis 11/12),148.0,3,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CR1,CHPR,

CR19,Prva HNL - Juniori,37.0,Youth,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CR19,,

CR2,1. Liga Gruppe 2 (bis 11/12),148.0,3,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CR2,CHPR,

CR3,1. Liga Gruppe 3 (bis 11/12),148.0,3,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CR3,CHPR,

CRPD,Primera División Apertura,36.0,1,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CRPD,,

CSL,Chinese Super League,34.0,1,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CSL,,

CSSF,Campionato Sammarinese Seconda Fase,144.0,1,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CSSF,,

CVF,Primera División Clausura Finale,36.0,1,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CVF,,

CVSP,Primera División Clausura 2. Phase (- 17/18),36.0,1,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CVSP,PDV1,

CYP2,2. Division,188.0,2,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CYP2,,

CZ19,1. Dorostenecka liga,172.0,Youth,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CZ19,,

CZ21,Juniorska liga,172.0,Reserve,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CZ21,,

CZ3C,Ceska fotbalova liga,172.0,3,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CZ3C,,

CZ3M,Moravskoslezska fotbalova liga,172.0,3,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CZ3M,,

DK1,Superliga,39.0,1,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/DK1,,

DK2,1.Division,39.0,2,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/DK2,,

DK3O,2.Division,39.0,3,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/DK3O,,

DK3V,2.Division Aufstiegsrunde,39.0,3,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/DK3V,,

DKDA,2.Division Abstiegsrunde,39.0,3,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/DKDA,,

DKDD,U19 Drenge Divisionen,39.0,Youth,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/DKDD,,

DKDL,U19 Drenge Ligaen,39.0,Youth,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/DKDL,,

DO1P,Liga Dominicana de Fútbol - Liguilla,43.0,1,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/DO1P,,

DOM1,Liga Dominicana de Fútbol,43.0,1,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/DOM1,,

