league_id,league_name,country_id,tier,prior_league_names
TR3B,2.Lig Kirmizi,174,3,
UAE1,UAE Pro League,183,1,
URU2,Segunda División - Fase Regular,179,2,
C3AR,Championnat National 3 - Groupe K,50,5,
CH17,Swiss U17 Elite League,148,Youth,
FINJ,A-pojat SM-sarja Qualifikation,49,Youth,
HOC1,Liga Nacional Clausura,66,1,
IT4A,Serie D - Girone A,75,4,
IT4B,Serie D - Girone B,75,4,
IT4C,Serie D - Girone C,75,4,
IT4D,Serie D - Girone D,75,4,
IT4E,Serie D - Girone E,75,4,
IT4F,Serie D - Girone F,75,4,
IT4H,Serie D - Girone H,75,4,
IT4I,Serie D - Girone I,75,4,
JUSÖ,U19 Allsvenskan Södra,147,Youth,
LBMI,Landesliga Bayern Mitte,40,6,
LIB1,Lebanese Premier League,94,1,
LLHA,Landesliga Hansa,40,6,
LLM1,Landesliga Mittelrhein Staffel 1,40,6,
LLM2,Landesliga Mittelrhein Staffel 2,40,6,
NC1A,Liga Primera de Nicaragua Apertura,121,1,
NLN6,National League North,189,6,
NPFL,Nigeria Professional Football League,124,1,
PL3W,2 Liga - Ost,135,3,
PL3Z,2 Liga - West,135,3,
SK2,MONACObet liga,154,2,
SL1C,Primera División Clausura,45,1,
UA3L,Druga Liga,177,3,
VLBE,Berlin-Liga,40,6,
C3HF,Championnat National 3 - Groupe G,50,5,
C3IF,Championnat National 3 - Groupe H,50,5,
CHC1,1. Liga Classic Gruppe 1,148,4,
CHC2,1. Liga Classic Gruppe 2,148,4,
CHC3,1. Liga Classic Gruppe 3,148,4,
CIR1,2. Liga interregional - Gruppe 1,148,5,
CIR2,2. Liga interregional - Gruppe 2,148,5,
CIR3,2. Liga interregional - Gruppe 3,148,5,
CIR4,2. Liga interregional - Gruppe 4,148,5,
CIR5,2. Liga interregional - Gruppe 5,148,5,
CIR6,2. Liga interregional - Gruppe 6 (bis 21/22),148,5,
CZ21,Juniorska liga,172,Reserve,
CZ3M,Moravskoslezska fotbalova liga,172,3,
FI3,Kakkonen - Region Ost,49,3,
FI3S,Kakkonen - Region Süd,49,3,
GB21,Premier League 2,189,Reserve,
GEO2,Pirveli Liga (bis 12/2016),53,2,Pirveli Liga (bis 12/2016)
GHPL,Ghana Premier League,54,1,
J18W,Prinz Takamado U18 Premier League West,77,Youth,
JUNO,U19 Allsvenskan Norra,147,Youth,
LBNO,Landesliga Bayern Nordost,40,6,
LBSW,Landesliga Bayern Südwest,40,6,
MT2P,Challenge League,106,2,Challenge League
OLB1,Bayernliga Nord,40,5,
OLB2,Bayernliga Süd,40,5,
OLRP,Oberliga Rheinland-Pfalz/Saar,40,5,
OLW3,Oberliga Westfalen,40,5,
PFL1,United Football League (-2016),134,1,United Football League (-2016)
RSK2,K League 2,87,2,
S21N,Folksam U21 Allsvenskan Norra,147,Reserve,
THA1,Thai League,167,1,
C3CM,Championnat National 3 - Groupe A,50,5,
C3PL,Championnat National 3 - Groupe D,50,5,
CHL3,China League Two A,34,3,
CZ3C,Ceska fotbalova liga,172,3,
EST3,Esiliiga B,47,3,
FI3N,Kakkonen - Region Nord,49,3,
GR2N,Football League Nord,56,2,
GR2S,Football League Süd,56,2,
JCSL,Chugoku Soccer League,77,5,
JPKA,Kansai Soccer League (Div.1),77,5,
LBNW,Landesliga Bayern Nordwest,40,6,
LBSO,Landesliga Bayern Südost,40,6,
LLHB,Landesliga Bremen,40,6,
S21S,Folksam U21 Allsvenskan Södra,147,Reserve,
SMR1,Campionato Sammarinese,144,1,
THA2,Thai League 2,167,2,
VLSB,Verbandsliga Südbaden,40,6,
VLSW,Verbandsliga Südwest,40,6,
AND1,Primera Divisió,5,1,
AR1N,Liga Profesional de Fútbol (- 23/24),9,1,
ARG1,Torneo Apertura,9,1,
ARM2,Armenian First League,10,2,
BCE2,Campeonato Cearense - Abstiegsrunde,26,StateChampionship,
BRSC,Campeonato Catarinense,26,StateChampionship,
C3NA,Championnat National 3 - Groupe B,50,5,
C3VL,Championnat National 3 - Groupe C,50,5,
CL3S,China League Two B,34,3,
CO2T,Torneo DIMAYOR I,83,2,
DKDD,U19 Drenge Divisionen,39,Youth,
FI3W,Kakkonen - Region West,49,3,
FJE,A-Pojat SM Sarja Endrunde,49,Youth,
IT3C,Serie C - Girone C,75,3,
ITJ4,Campionato nazionale Under 17 - A,75,Youth,
JAP3,J3 League,77,3,
LLHM,Landesliga Hammonia,40,6,
LLL,Landesliga Lüneburg,40,6,
LNBR,Landesliga Braunschweig,40,6,
LNWE,Landesliga Weser-Ems,40,6,
NLBV,Beloften Vorrunde,122,Reserve,
NLEV,U19 Division 2 Fall,122,Youth,
NLVB,U17 Divisie 1 Herbst,122,Youth,
PL2L,Betclic 2 Liga,135,3,
PLJF,Zentrale Jugendliga - Finalrunde,135,PlayoffRelegation,
PR1C,Primera División Clausura,132,1,
VLMV,Verbandsliga Mecklenburg-Vorpommern,40,6,
VLSA,Verbandsliga Sachsen-Anhalt,40,6,
VSHO,Verbandsliga Schleswig-Holstein - Süd-Ost,40,6,
BI19,Premijer Liga BiH U19,24,Youth,
BRCG,Campeonato Carioca,26,StateChampionship,
C3BR,Championnat National 3 - Groupe E,50,5,
CPSC,Campeonato de Portugal - Série C,136,4,
CZ19,1. Dorostenecka liga,172,Youth,
DKDA,2.Division Abstiegsrunde,39,3,
E21P,Premier League 2 Playoffs,189,PlayoffRelegation,
ES17,U17 Eliitliiga Esiliiga,47,Youth,
FI3B,Kakkonen - Gruppe B,49,4,
FI3C,Kakkonen - Gruppe C,49,4,
GI1,Gibraltar Football League,266,1,
ITJ5,Campionato nazionale Under 17 - B,75,Youth,
ITJ6,Campionato nazionale Under 17 - C,75,Youth,
LAO1,Lao League 1,91,1,
MYA1,Myanmar National League,116,1,
MYS1,Malaysia Super League,103,1,
NLBA,Beloften Entscheidungsrunde,122,PlayoffRelegation,
PL31,Betclic 3 Liga - Gruppe I,135,4,
PLZJ,Zentrale Jugendliga West (bis 17/18),135,Youth,Zentrale Jugendliga Ost (bis 17/18); Zentrale Jugendliga West (bis 17/18)
SL1A,Primera División Apertura,45,1,
UGL1,Uganda Premier League,176,1,
18GB,U18 Premier League - Final Stage,189,PlayoffRelegation,
BCP2,Campeonato Paulista - Troféu Independência,26,Cup,
BEL3,1ste Nationale,19,3,
BI17,Premijer Liga BiH U17,24,Youth,
C3NO,Championnat National 3 - Groupe F,50,5,
IKSC,Irak Super Cup,70,Statechampionship,
IND2,I-League 2,67,3,
LNHA,Landesliga Hannover,40,6,
LNR2,Landesliga Niederrhein - Gruppe 2,40,6,
NO31,PostNord-ligaen Avd. 1,125,3,
NO32,PostNord-ligaen Avd. 2,125,3,
NO41,Norsk Tipping-Ligaen avdeling 1,125,4,
NO42,Norsk Tipping-Ligaen avdeling 2,125,4,
NO43,Norsk Tipping-Ligaen avdeling 3,125,4,
NO45,Norsk Tipping-Ligaen avdeling 5,125,4,
NTD,Tweede Divisie,122,3,
PL33,Betclic 3 Liga - Gruppe III,135,4,
PL34,Betclic 3 Liga - Gruppe IV,135,4,
POLL,Play-Off Liga Portugal 2,136,PlayoffRelegation,
SL2P,Scottish League Two Playoffs,190,PlayoffRelegation,
TAD1,Vysshaya Liga,165,1,
VSNO,Verbandsliga Schleswig-Holstein - Nord-Ost,40,6,
ACFF,2de Nationale ACFF,19,4,
BGD1,Bangladesh Football League,16,1,
C3OC,National 3 - Occitanie,50,5,
DOM1,Liga Dominicana de Fútbol,43,1,
